Sr No,q,Outcome
1,1,Success
2,1,Failure
3,1,Failure
4,1,Failure
5,1,Failure
6,1,Success
7,1,Success
8,1,Success
9,1,Failure
10,1,Failure
11,1,Failure
12,1,Success
13,1,Failure
14,1,Failure
15,1,Failure
16,1,Failure
17,1,Failure
18,1,Success
19,1,Failure
20,1,Failure
21,1,Success
22,1,Success
23,1,Success
24,1,Success
25,1,Failure
26,1,Failure
27,1,Success
28,1,Failure
29,1,Failure
30,1,Failure
31,1,Success
32,1,Failure
33,1,Success
34,1,Success
35,1,Failure
36,1,Success
37,1,Success
38,1,Success
39,1,Success
40,1,Success
41,1,Success
42,1,Failure
43,1,Failure
44,1,Success
45,1,Success
46,1,Failure
47,1,Failure
48,1,Success
49,1,Success
50,1,Success
51,1,Failure
52,1,Failure
53,1,Failure
54,1,Failure
55,1,Success
56,1,Failure
57,1,Failure
58,1,Success
59,1,Success
60,1,Success
61,1,Success
62,1,Failure
63,1,Failure
64,1,Success
65,1,Success
66,1,Failure
67,1,Success
68,1,Success
69,1,Success
70,1,Success
71,1,Success
72,1,Failure
73,1,Failure
74,1,Success
75,1,Failure
76,1,Failure
77,1,Success
78,1,Success
79,1,Failure
80,1,Success
81,1,Failure
82,1,Failure
83,1,Failure
84,1,Failure
85,1,Failure
86,1,Success
87,1,Success
88,1,Failure
89,1,Failure
90,1,Success
91,1,Success
92,1,Success
93,1,Failure
94,1,Failure
95,1,Success
96,1,Failure
97,1,Failure
98,1,Success
99,1,Failure
100,1,Success
,,
,,49
