Sr No,q,Outcome
1,0.6,Success
2,0.6,Failure
3,0.6,Success
4,0.6,Success
5,0.6,Failure
6,0.6,Success
7,0.6,Failure
8,0.6,Success
9,0.6,Success
10,0.6,Success
11,0.6,Failure
12,0.6,Failure
13,0.6,Success
14,0.6,Success
15,0.6,Success
16,0.6,Success
17,0.6,Success
18,0.6,Success
19,0.6,Success
20,0.6,Success
21,0.6,Failure
22,0.6,Success
23,0.6,Success
24,0.6,Failure
25,0.6,Failure
26,0.6,Success
27,0.6,Success
28,0.6,Success
29,0.6,Success
30,0.6,Success
31,0.6,Success
32,0.6,Success
33,0.6,Success
34,0.6,Success
35,0.6,Success
36,0.6,Failure
37,0.6,Success
38,0.6,Success
39,0.6,Failure
40,0.6,Success
41,0.6,Failure
42,0.6,Success
43,0.6,Success
44,0.6,Success
45,0.6,Success
46,0.6,Success
47,0.6,Success
48,0.6,Success
49,0.6,Failure
50,0.6,Success
51,0.6,Success
52,0.6,Success
53,0.6,Success
54,0.6,Failure
55,0.6,Success
56,0.6,Failure
57,0.6,Failure
58,0.6,Success
59,0.6,Success
60,0.6,Failure
61,0.6,Success
62,0.6,Success
63,0.6,Success
64,0.6,Success
65,0.6,Failure
66,0.6,Success
67,0.6,Success
68,0.6,Success
69,0.6,Success
70,0.6,Success
71,0.6,Success
72,0.6,Success
73,0.6,Success
74,0.6,Success
75,0.6,Success
76,0.6,Success
77,0.6,Success
78,0.6,Success
79,0.6,Success
80,0.6,Failure
81,0.6,Success
82,0.6,Failure
83,0.6,Success
84,0.6,Failure
85,0.6,Success
86,0.6,Success
87,0.6,Success
88,0.6,Success
89,0.6,Failure
90,0.6,Failure
91,0.6,Failure
92,0.6,Success
93,0.6,Failure
94,0.6,Success
95,0.6,Success
96,0.6,Success
97,0.6,Failure
98,0.6,Success
99,0.6,Success
100,0.6,Success
,,
,,75
