Sr No,q,Outcome
1,0.5,Success
2,0.5,Failure
3,0.5,Success
4,0.5,Failure
5,0.5,Failure
6,0.5,Success
7,0.5,Success
8,0.5,Success
9,0.5,Success
10,0.5,Success
11,0.5,Failure
12,0.5,Success
13,0.5,Success
14,0.5,Success
15,0.5,Success
16,0.5,Failure
17,0.5,Failure
18,0.5,Success
19,0.5,Failure
20,0.5,Success
21,0.5,Failure
22,0.5,Success
23,0.5,Success
24,0.5,Failure
25,0.5,Success
26,0.5,Failure
27,0.5,Failure
28,0.5,Success
29,0.5,Failure
30,0.5,Success
31,0.5,Failure
32,0.5,Success
33,0.5,Success
34,0.5,Failure
35,0.5,Failure
36,0.5,Failure
37,0.5,Failure
38,0.5,Success
39,0.5,Success
40,0.5,Success
41,0.5,Failure
42,0.5,Success
43,0.5,Success
44,0.5,Success
45,0.5,Failure
46,0.5,Success
47,0.5,Failure
48,0.5,Failure
49,0.5,Failure
50,0.5,Success
51,0.5,Failure
52,0.5,Success
53,0.5,Failure
54,0.5,Success
55,0.5,Success
56,0.5,Success
57,0.5,Success
58,0.5,Success
59,0.5,Failure
60,0.5,Success
61,0.5,Success
62,0.5,Success
63,0.5,Success
64,0.5,Failure
65,0.5,Success
66,0.5,Failure
67,0.5,Success
68,0.5,Failure
69,0.5,Success
70,0.5,Success
71,0.5,Success
72,0.5,Success
73,0.5,Success
74,0.5,Success
75,0.5,Failure
76,0.5,Success
77,0.5,Success
78,0.5,Success
79,0.5,Success
80,0.5,Success
81,0.5,Success
82,0.5,Failure
83,0.5,Failure
84,0.5,Success
85,0.5,Success
86,0.5,Success
87,0.5,Failure
88,0.5,Success
89,0.5,Failure
90,0.5,Success
91,0.5,Success
92,0.5,Success
93,0.5,Success
94,0.5,Failure
95,0.5,Success
96,0.5,Failure
97,0.5,Failure
98,0.5,Success
99,0.5,Failure
100,0.5,Success
